City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Les Cayes,HT,18.2,-73.75,85.48,61,100,9.89,overcast clouds
280,Jiangyou,CN,31.7667,104.7167,78.42,87,99,4.0,overcast clouds
281,Srandakan,ID,-7.9386,110.2506,75.29,85,14,9.44,few clouds
282,Port Lincoln,AU,-34.7333,135.8667,51.3,75,0,8.88,clear sky
283,Shenjiamen,CN,29.9576,122.298,79.18,90,87,3.87,overcast clouds
284,Taoudenni,ML,22.6783,-3.9836,116.06,5,0,13.06,clear sky
285,Tucupita,VE,9.0622,-62.051,84.0,74,94,5.46,overcast clouds
286,Kem,RU,64.9555,34.5793,62.56,58,96,10.47,overcast clouds
287,Cidreira,BR,-30.1811,-50.2056,64.94,81,100,14.27,overcast clouds
288,Grafton,US,42.207,-71.6856,78.93,47,3,1.01,clear sky
289,Krasnogvardeyskiy,RU,57.3793,62.3195,73.58,73,86,4.63,overcast clouds
290,Barcelona,ES,41.3888,2.159,94.19,65,0,14.97,clear sky
291,Touros,BR,-5.1989,-35.4608,82.38,62,17,18.32,few clouds
292,Axim,GH,4.8699,-2.2405,79.63,75,98,13.78,light rain
293,Kikwit,CD,-5.041,18.8162,96.6,14,72,1.68,broken clouds
294,Makakilo City,US,21.3469,-158.0858,73.18,87,75,0.0,light intensity drizzle
295,Kohtla-Jarve,EE,59.3986,27.2731,65.12,76,74,2.01,broken clouds
296,Ilulissat,GL,69.2167,-51.1,51.82,54,20,5.75,few clouds
297,Tilichiki,RU,60.4667,166.1,51.89,94,100,3.11,overcast clouds
298,Manzhouli,CN,49.6,117.4333,57.65,86,100,8.39,overcast clouds
299,Afonso Bezerra,BR,-5.4983,-36.5056,87.57,40,22,19.28,few clouds
300,Narsaq,GL,60.9167,-46.05,55.62,78,100,3.85,overcast clouds
301,Shibetsu,JP,43.659,145.132,56.37,98,100,8.21,overcast clouds
302,Nome,US,64.5011,-165.4064,56.1,80,9,4.85,clear sky
303,San Quintin,MX,30.4833,-115.95,68.72,78,28,10.0,scattered clouds
304,Kingston,JM,17.997,-76.7936,88.25,64,100,1.99,overcast clouds
305,Bathsheba,BB,13.2167,-59.5167,85.05,87,91,19.33,overcast clouds
306,Matara,LK,5.9485,80.5353,80.1,81,100,15.26,overcast clouds
307,Penon Blanco,MX,24.7897,-104.0369,75.88,46,25,4.09,scattered clouds
308,Port Hardy,CA,50.6996,-127.4199,56.21,89,100,2.95,overcast clouds
309,Maldonado,UY,-34.6667,-54.9167,63.23,86,85,18.14,overcast clouds
310,Pundaguitan,PH,6.3711,126.1689,81.95,77,100,5.73,light rain
311,Naze,JP,28.3667,129.4833,78.69,90,3,9.37,clear sky
312,Ust-Ilimsk,RU,58.0006,102.6619,55.27,85,21,3.0,few clouds
313,Pangnirtung,CA,66.1451,-65.7125,46.62,75,99,4.14,overcast clouds
314,Hobyo,SO,5.3505,48.5268,77.02,75,100,30.22,overcast clouds
315,Lafiagi,NG,8.8667,5.4167,84.15,76,96,9.82,moderate rain
316,Rio Grande,BR,-32.035,-52.0986,57.94,93,100,12.59,moderate rain
317,Itarema,BR,-2.9248,-39.9167,85.78,52,74,14.83,broken clouds
318,Tongren,CN,27.7172,109.1853,79.93,85,9,3.58,clear sky
319,Camara De Lobos,PT,32.6333,-16.9667,75.83,73,0,6.91,clear sky
320,Pudozh,RU,61.8099,36.5345,68.92,54,67,6.82,broken clouds
321,Ossora,RU,59.2353,163.0719,57.11,91,77,2.91,broken clouds
322,Zhanaozen,KZ,43.3,52.8,92.48,14,49,4.72,scattered clouds
323,Qaqortoq,GL,60.7167,-46.0333,44.67,91,100,4.23,overcast clouds
324,Manggar,ID,-2.8833,108.2667,80.38,78,69,12.64,broken clouds
325,Nuuk,GL,64.1835,-51.7216,41.61,100,100,11.5,fog
326,Tymovskoye,RU,50.8456,142.655,59.9,96,6,5.95,clear sky
